market,variant,pendle,morpho,hedge,bar,bars,start,end,target_ltv,leverage_at_entry,pt_apy_at_entry,borrow_apy_mean,funding_apr_mean,boros_mark_apr_mean,realised_apy,final_equity,max_drawdown,hedge_coverage_mean,hedge_pnl,liquidations,min_health_factor,debt_changes,hedge_margin_share,hedge_ratio
susde_7may2026_pyusd,boros,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,BINANCE-ETHUSDT-27MAR2026,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.7,2.878945252543079,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.04732310788700622,100657.31976916087,-0.0015585444099180945,0.13418760255395476,-34.8471153247101,0,1.330753034087421,1,0.1,0.5
susde_7may2026_pyusd,boros,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,BINANCE-ETHUSDT-27MAR2026,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.7,2.879003788383924,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.04510061838210433,100622.47265383616,-0.0015590844661127479,0.2683752051079095,-69.6942306494202,0,1.330753034087421,1,0.1,1.0
susde_7may2026_pyusd,boros,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,BINANCE-ETHUSDT-27MAR2026,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.7,2.2389219067946273,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.03664203755627793,100512.64700020719,-0.0012138162093365823,0.1341876025539548,-27.103828619445267,0,1.3307533537338196,1,0.3,0.5
susde_7may2026_pyusd,boros,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,BINANCE-ETHUSDT-27MAR2026,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.7,2.238957309045302,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.03492806754488198,100485.54317158772,-0.0012141437559203272,0.2683752051079096,-54.20765723889781,0,1.3307533537338196,1,0.3,1.0
susde_7may2026_pyusd,perp,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,ETHUSDT basis,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.7,2.879049916814439,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.046317894660869996,100638.83262832536,-0.0015695836666668184,0.03320270433910404,-53.33425616021486,0,1.330753034087421,1,0.1,0.5
susde_7may2026_pyusd,perp,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,ETHUSDT basis,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.7,2.879049916814439,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.046317894660869996,100638.83262832536,-0.0015695836666668184,0.03320270433910404,-53.33425616021486,0,1.330753034087421,1,0.1,1.0
susde_7may2026_pyusd,perp,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,ETHUSDT basis,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.7,2.2392672519672483,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.02877448218667933,100379.74806034597,-0.0012478387328993534,0.12806513243298925,-160.00276848064823,0,1.3307533537338196,1,0.3,0.5
susde_7may2026_pyusd,perp,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,ETHUSDT basis,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.7,2.2392672519672483,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.02877448218667933,100379.74806034597,-0.0012478387328993534,0.12806513243298925,-160.00276848064823,0,1.3307533537338196,1,0.3,1.0
susde_7may2026_pyusd,none,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.8,4.329446577234599,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.0646351951080113,100884.60038231371,-0.0023630729081793866,,0.0,0,1.1895031999571453,1,0.0,0.0
susde_7may2026_pyusd,boros,PT-sUSDe-7MAY2026,PT-sUSDE-7MAY2026 / PYUSD,BINANCE-ETHUSDT-27MAR2026,day,57,2026-03-12 00:00:00+00:00,2026-05-07 00:00:00+00:00,0.8,3.896309670074069,0.03700470901859254,0.029026002133705295,-0.013262883333333331,0.007424237469356541,0.05461970220137413,100744.64279757219,-0.00212957711607642,0.13418760255395476,-52.751227908307555,0,1.1895036486607617,1,0.1,0.5
