timestamp,PT_amount,PT_cash,PT_py_index_high,HEDGE_collateral,HEDGE_positions_0_amount,HEDGE_positions_0_entry_price,HEDGE_positions_0_max_leverage,BOROS_collateral,BOROS_size,BOROS_entry_rate,BOROS_realized_settlements,BOROS_liquidation_count,PT_seconds_to_expiry,PT_implied_apy,PT_asset_price,PT_sy_exchange_rate,PT_total_pt,PT_total_sy,PT_scalar_root,PT_ln_fee_rate_root,HEDGE_mark_price,HEDGE_funding_rate,BOROS_seconds_to_expiry,BOROS_mark_rate,BOROS_funding_rate,BOROS_funding_period_seconds,BOROS_underlying_price,PT_balance,HEDGE_balance,BOROS_balance,net_balance
2026-05-26 00:00:00+00:00,27.312128543496236,0.0,1.0,30084.367924782706,-26.280513263113548,2273.62,10.0,9917.083233795165,-26.280513263113548,0.0199305317288916,-64.33638068659062,0,50371200.0,0.02449727480595909,2072.99,1.0,107.7749879224768,1290.6822572596907,86.36,0.000499875,2072.99,0.00010659,18403200.0,0.02690486143122901,0.00010659,86400.0,2072.99,54470.86344900298,35357.02730076118,9695.355374980629,99523.2461247448
2026-05-27 00:00:00+00:00,27.312128543496236,0.0,1.0,30093.153900881585,-26.280513263113548,2273.62,10.0,9911.055611195723,-26.280513263113548,0.0199305317288916,-70.36400328603298,0,50284800.0,0.02447164945395408,2023.7,1.0,107.54802795436309,1290.8590466756223,86.36,0.000499875,2023.7,0.0001652,18316800.0,0.028385936624747744,0.0001652,86400.0,2023.7,53181.34320608698,36661.17977559892,9649.865109220087,99492.388090906
2026-05-28 00:00:00+00:00,27.312128543496236,0.0,1.0,30097.35008314462,-26.280513263113548,2273.62,10.0,9909.597636924036,-26.280513263113548,0.0199305317288916,-71.82197755772071,0,50198400.0,0.02568641725962162,2008.92,1.0,118.81849252541379,1282.1096087721032,86.36,0.000499875,2008.92,7.947999999999999e-05,18230400.0,0.028803500768295798,7.947999999999999e-05,86400.0,2008.92,52696.93476190172,37053.80194389077,9638.793657321567,99389.53036311406
2026-05-29 00:00:00+00:00,27.312128543496236,0.0,1.0,30109.090169166037,-26.280513263113548,2273.62,10.0,9900.601797094298,-26.280513263113548,0.0199305317288916,-80.81781738745961,0,50112000.0,0.02568641727127674,2013.35,1.0,118.81849252541379,1282.1096087721032,86.36,0.000499875,2013.35,0.00022188,18144000.0,0.03143275877460312,0.00022188,86400.0,2013.35,52816.810049372885,36949.119356156596,9550.445865090516,99316.37527062
2026-05-30 00:00:00+00:00,27.312128543496236,0.0,1.0,30118.168177865653,-26.280513263113548,2273.62,10.0,9894.279252281322,-26.280513263113548,0.0199305317288916,-87.14036220043654,0,50025600.0,0.025686417282972274,2021.58,1.0,118.81849252541379,1282.1096087721032,86.36,0.000499875,2021.58,0.00017087,18057600.0,0.03143275877460312,0.00017087,86400.0,2021.58,53036.39520052906,36741.90874070079,9544.366207887831,99322.67014911768
2026-05-31 00:00:00+00:00,27.312128543496236,0.0,1.0,30127.82457437695,-26.280513263113548,2273.62,10.0,9887.35750626637,-26.280513263113548,0.0199305317288916,-94.06210821538788,0,49939200.0,0.02568641729470822,2006.31,1.0,118.81849252541379,1282.1096087721032,86.36,0.000499875,2006.31,0.00018313999999999998,17971200.0,0.03143275877460312,0.00018313999999999998,86400.0,2006.31,52639.44243746131,37152.868574739834,9541.749108106918,99334.06012030806
2026-06-01 00:00:00+00:00,27.312128543496236,0.0,1.0,30139.083182000366,-26.280513263113548,2273.62,10.0,9878.833126601581,-26.280513263113548,0.0199305317288916,-102.58648788017656,0,49852800.0,0.025686417306485243,2006.0,1.0,118.81849252541379,1282.1096087721032,86.36,0.000499875,2006.0,0.00021356,17884800.0,0.03143275877460312,0.00021356,86400.0,2006.0,52634.96620313983,37172.27414147481,9534.939451366834,99342.17979598147
2026-06-02 00:00:00+00:00,36.59642198407817,0.0,1.0,13523.956113029924,-35.16063223316826,2168.8940636828106,10.0,9868.811837228017,-26.280513263113548,0.0199305317288916,-112.60777725374093,0,49766400.0,0.0256864173183029,1858.96,1.0,118.81849252541379,1282.1096087721032,86.36,0.000499875,1858.96,0.00025699,17798400.0,0.0312268300339757,0.00025699,86400.0,1858.96,65362.208896170465,24421.43374271258,9557.34314733577,99340.98578621881
2026-06-03 00:00:00+00:00,36.59642198407817,0.0,1.0,13536.21978299879,-35.16063223316826,2168.8940636828106,10.0,9862.115890318595,-26.280513263113548,0.0199305317288916,-119.30372416316193,0,49680000.0,0.02649337236641025,1812.46,1.0,120.03599297836456,1206.7978476037788,86.36,0.000499875,1812.46,0.00019244,17712000.0,0.031381396574563174,0.00019244,86400.0,1812.46,63652.7589848833,26068.66681152377,9555.777406280115,99277.20320268719
2026-06-04 00:00:00+00:00,36.59642198407817,0.0,1.0,13546.225647672347,-35.16063223316826,2168.8940636828106,10.0,9857.049455768562,-26.280513263113548,0.0199305317288916,-124.37015871319463,0,49593600.0,0.025812446641574338,1769.86,1.0,113.55377148116696,1211.8382929295014,86.36,0.000499875,1769.86,0.00016079,17625600.0,0.031381396574563174,0.00016079,86400.0,1769.86,62226.020799846,27576.515609330294,9559.370352634753,99361.90676181106
2026-06-05 00:00:00+00:00,36.59642198407817,0.0,1.0,13542.973142184175,-35.16063223316826,2168.8940636828106,10.0,9861.637295582019,-26.280513263113548,0.0199305317288916,-119.78231889973718,0,49507200.0,0.025936241370653423,1582.35,1.0,112.33738283239028,1185.923050930285,86.36,0.000499875,1582.35,-5.846e-05,17539200.0,0.03138187454744776,-5.846e-05,86400.0,1582.35,55626.75397208985,34166.2332538835,9596.789730834318,99389.77695680768
2026-06-06 00:00:00+00:00,36.59642198407817,0.0,1.0,13534.954452207226,-35.16063223316826,2168.8940636828106,10.0,9869.76883755664,-26.280513263113548,0.0199305317288916,-111.65077692511578,0,49420800.0,0.02456295654736551,1568.6,1.0,100.38718967957142,1195.2304941601176,86.36,0.000499875,1568.6,-0.00014539000000000002,17452800.0,0.030650662080871558,-0.00014539000000000002,86400.0,1568.6,55263.129366974776,34641.67325711262,9625.198025983684,99530.00065007109
2026-06-07 00:00:00+00:00,36.59642198407817,0.0,1.0,13525.246343547511,-35.16063223316826,2168.8940636828106,10.0,9879.328128843626,-26.280513263113548,0.0199305317288916,-102.09148563812836,0,49334400.0,0.025807541408770174,1689.66,1.0,113.14262112391258,1207.9791785624607,86.36,0.000499875,1689.66,-0.00016341,17366400.0,0.030650662080871558,-0.00016341,86400.0,1689.66,59419.18040658948,30375.419010305548,9617.186239645735,99411.78565654076
2026-06-08 00:00:00+00:00,36.59642198407817,0.0,1.0,13513.754258164743,-35.16063223316826,2168.8940636828106,10.0,9890.220224883744,-26.280513263113548,0.0199305317288916,-91.19938959801031,0,49248000.0,0.026138620908421117,1689.21,1.0,117.01258031407191,1213.5795011280886,86.36,0.000499875,1689.21,-0.00019349,17280000.0,0.029298241735141162,-0.00019349,86400.0,1689.21,59377.57231952564,30379.749209427708,9662.349750889667,99419.67127984302
