,timestamp,UNISWAP_V3_token0_amount,UNISWAP_V3_token1_amount,UNISWAP_V3_entry_token0_amount,UNISWAP_V3_entry_token1_amount,UNISWAP_V3_price_init,UNISWAP_V3_price_lower,UNISWAP_V3_price_upper,UNISWAP_V3_liquidity,UNISWAP_V3_cash,UNISWAP_V3_tvl,UNISWAP_V3_volume,UNISWAP_V3_fees,UNISWAP_V3_price,UNISWAP_V3_balance,net_balance
214,2025-01-19 22:00:00+00:00,505423.719573408,151.5166987246023,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,9.843613083170473e+17,9406.36089526014,321109405.9288462,951960.0095623081,2855.8800286869246,3265.88,1009665.4364993722,1009665.4364993722
215,2025-01-19 23:00:00+00:00,488616.3827702658,156.7042896396146,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,9.843613083170473e+17,9509.785123738955,321109405.9288462,951960.0095623081,2855.8800286869246,3214.15,1001797.2604391719,1001797.2604391719
216,2025-01-20 00:00:00+00:00,474295.92392721545,161.1903677732523,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,9596.167071579595,324915644.65231246,923882.2691502633,2771.64680745079,3170.4,994930.0329871142,994930.0329871142
217,2025-01-20 01:00:00+00:00,483949.6905927189,158.1594491294223,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,9682.549019420274,324915644.65231246,923882.2691502633,2771.64680745079,3199.86,999720.3345034125,999720.3345034125
218,2025-01-20 02:00:00+00:00,498383.1131121035,153.67971021078796,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,9768.930967260934,324915644.65231246,923882.2691502633,2771.64680745079,3244.16,1006713.6127567943,1006713.6127567943
219,2025-01-20 03:00:00+00:00,507202.8439986004,150.97239574296822,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,9855.312915101613,324915644.65231246,923882.2691502633,2771.64680745079,3271.38,1010946.2328993334,1010946.2328993334
220,2025-01-20 04:00:00+00:00,506711.3083481465,151.12268396468903,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,9941.694862942268,324915644.65231246,923882.2691502633,2771.64680745079,3269.86,1010803.0225998668,1010803.0225998668
221,2025-01-20 05:00:00+00:00,513456.71835795685,149.06633731235027,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,10028.076810782946,324915644.65231246,923882.2691502633,2771.64680745079,3290.75,1014024.8446793564,1014024.8446793564
222,2025-01-20 06:00:00+00:00,553920.6809614653,137.0001727067025,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,10114.458758623554,324915644.65231246,923882.2691502633,2771.64680745079,3417.46,1032227.7499383364,1032227.7499383364
223,2025-01-20 07:00:00+00:00,543096.3902826923,140.18345788091335,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,10200.840706464232,324915644.65231246,923882.2691502633,2771.64680745079,3383.33,1027584.1295413871,1027584.1295413871
224,2025-01-20 08:00:00+00:00,545898.8547604352,139.3562200019089,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,10287.222654304844,324915644.65231246,923882.2691502633,2771.64680745079,3392.15,1028903.2790942152,1028903.2790942152
225,2025-01-20 09:00:00+00:00,536992.6942212812,141.992640464322,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,10373.604602145479,324915644.65231246,923882.2691502633,2771.64680745079,3364.16,1025052.2601678802,1025052.2601678802
226,2025-01-20 10:00:00+00:00,533875.2522735277,142.92065178935627,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,10459.986549986157,324915644.65231246,923882.2691502633,2771.64680745079,3354.39,1023746.8439792126,1023746.8439792126
227,2025-01-20 11:00:00+00:00,540659.5386429271,140.9045270345412,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,10546.368497826836,324915644.65231246,923882.2691502633,2771.64680745079,3375.67,1026853.0919154435,1026853.0919154435
228,2025-01-20 12:00:00+00:00,517720.85230089107,147.7731422700331,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,10632.750445667514,324915644.65231246,923882.2691502633,2771.64680745079,3303.99,1016594.5870753253,1016594.5870753253
229,2025-01-20 13:00:00+00:00,530008.0468035357,144.07561567676376,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,10719.132393508193,324915644.65231246,923882.2691502633,2771.64680745079,3342.29,1022269.6687173346,1022269.6687173346
230,2025-01-20 14:00:00+00:00,535203.192240027,142.52501583209119,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,10805.514341348868,324915644.65231246,923882.2691502633,2771.64680745079,3358.55,1024686.0985042459,1024686.0985042459
231,2025-01-20 15:00:00+00:00,527972.5600655902,144.68520555580594,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,10891.896289189546,324915644.65231246,923882.2691502633,2771.64680745079,3335.93,1021524.1741245594,1021524.1741245594
232,2025-01-20 16:00:00+00:00,542037.3671889952,140.4966240940246,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,10978.278237030225,324915644.65231246,923882.2691502633,2771.64680745079,3380.0,1027894.2348638288,1027894.2348638288
233,2025-01-20 17:00:00+00:00,514165.85372140934,148.85091577034675,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,11064.660184870836,324915644.65231246,923882.2691502633,2771.64680745079,3292.95,1015389.1369922435,1015389.1369922435
234,2025-01-20 18:00:00+00:00,526252.4066659508,145.20126541870613,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,11151.042132711515,324915644.65231246,923882.2691502633,2771.64680745079,3330.56,1021004.9753515881,1021004.9753515881
235,2025-01-20 19:00:00+00:00,530212.7683698985,144.014369654254,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,11237.424080552193,324915644.65231246,923882.2691502633,2771.64680745079,3342.93,1022880.1491987461,1022880.1491987461
236,2025-01-20 20:00:00+00:00,522952.36780339706,146.19363563785095,498500.0000000002,153.64368227041285,3244.52,1890.7894070142986,5567.468270843974,1.1497955056803164e+18,11323.806028392808,324915644.65231246,923882.2691502633,2771.64680745079,3320.27,1019678.5164310773,1019678.5164310773
