,timestamp,HEDGE_collateral,HEDGE_positions_0_amount,HEDGE_positions_0_entry_price,HEDGE_positions_0_max_leverage,SPOT_amount,SPOT_cash,HEDGE_mark_price,HEDGE_funding_rate,SPOT_tvl,SPOT_volume,SPOT_fees,SPOT_liquidity,SPOT_price,HEDGE_balance,SPOT_balance,net_balance
559,2024-01-24 06:00:00+00:00,221834.51126225304,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39883.6,2.76335e-05,0,0,0,0,39883.6,270894.67568166717,746859.0303592293,1017753.7060408965
560,2024-01-24 07:00:00+00:00,221852.43401454936,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39979.4,2.394e-05,0,0,0,0,39979.4,269118.6506682549,748652.978124938,1017771.6287931928
561,2024-01-24 08:00:00+00:00,221864.72812354378,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39948.6,1.64343e-05,0,0,0,0,39948.6,269707.70460171514,748076.2183004721,1017783.9229021873
562,2024-01-24 09:00:00+00:00,221874.094759271,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40015.6,1.25e-05,0,0,0,0,40015.6,268462.431359546,749330.8581783685,1017793.2895379146
563,2024-01-24 10:00:00+00:00,221883.53873324743,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40346.0,1.25e-05,0,0,0,0,40346.0,262284.8153983438,755517.9181135471,1017802.733511891
564,2024-01-24 11:00:00+00:00,221892.94740877356,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40195.2,1.25e-05,0,0,0,0,40195.2,265118.10009755316,752694.0420898638,1017812.142187417
565,2024-01-24 12:00:00+00:00,221902.31750880493,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40030.4,1.25e-05,0,0,0,0,40030.4,268213.5097778431,749608.0025096054,1017821.5122874484
566,2024-01-24 13:00:00+00:00,221911.67492199276,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39976.2,1.25e-05,0,0,0,0,39976.2,269237.81467434415,748593.0550262921,1017830.8697006362
567,2024-01-24 14:00:00+00:00,221921.016137218,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39907.0,1.25e-05,0,0,0,0,39907.0,270542.9928977847,747297.2180180767,1017840.2109158614
568,2024-01-24 15:00:00+00:00,221974.6362084297,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40046.7,7.15017e-05,0,0,0,0,40046.7,267980.59519374085,749913.2357933323,1017893.8309870732
569,2024-01-24 16:00:00+00:00,222044.92076283254,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40186.0,9.33987e-05,0,0,0,0,40186.0,265442.35236021876,752521.7631812573,1017964.115541476
570,2024-01-24 17:00:00+00:00,222081.4546135365,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40131.0,4.86151e-05,0,0,0,0,40131.0,266508.8144688974,751491.8349232826,1018000.64939218
571,2024-01-24 18:00:00+00:00,222112.0656139082,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39757.9,4.11159e-05,0,0,0,0,39757.9,273526.08425200253,744505.1761405491,1018031.2603925517
572,2024-01-24 19:00:00+00:00,222152.5062512715,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39797.4,5.42649e-05,0,0,0,0,39797.4,272826.84914045676,745244.8518894583,1018071.701029915
573,2024-01-24 20:00:00+00:00,222198.66789506617,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39548.0,6.23322e-05,0,0,0,0,39548.0,277543.26728495833,740574.5953887514,1018117.8626737096
574,2024-01-24 21:00:00+00:00,222241.86038863813,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39788.1,5.7971e-05,0,0,0,0,39788.1,273090.3547832628,745070.7003840188,1018161.0551672817
575,2024-01-24 22:00:00+00:00,222283.30580056013,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39872.5,5.55084e-05,0,0,0,0,39872.5,271551.32846840186,746651.1721108018,1018202.5005792037
576,2024-01-24 23:00:00+00:00,222321.7846497832,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40078.7,5.12701e-05,0,0,0,0,40078.7,267728.5126486364,750512.4667797902,1018240.9794284266
577,2024-01-25 00:00:00+00:00,222360.223491053,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40160.4,5.11126e-05,0,0,0,0,40160.4,266237.0398776056,752042.3783920909,1018279.4182696965
578,2024-01-25 01:00:00+00:00,222382.29415341027,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39975.6,2.94833e-05,0,0,0,0,39975.6,269719.6694867577,748581.8194452961,1018301.4889320538
579,2024-01-25 02:00:00+00:00,222394.9526043286,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39931.7,1.69285e-05,0,0,0,0,39931.7,270554.39794722316,747759.7494357489,1018314.1473829721
580,2024-01-25 03:00:00+00:00,222404.3162439009,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40002.8,1.25e-05,0,0,0,0,40002.8,269232.345238759,749091.1657837854,1018323.5110225445
581,2024-01-25 04:00:00+00:00,222413.66738388932,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39949.4,1.25e-05,0,0,0,0,39949.4,270241.6630873992,748091.1990751337,1018332.8621625329
582,2024-01-25 05:00:00+00:00,222422.998861611,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39865.4,1.25e-05,0,0,0,0,39865.4,271823.9759045731,746518.2177356814,1018342.1936402546
583,2024-01-25 06:00:00+00:00,222432.36839986334,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40028.0,1.25e-05,0,0,0,0,40028.0,268788.5029928858,749563.060185621,1018351.5631785069
584,2024-01-25 07:00:00+00:00,222441.7593793494,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40119.6,1.25e-05,0,0,0,0,40119.6,267082.59527363593,751278.3588843569,1018360.9541579928
585,2024-01-25 08:00:00+00:00,222458.4019166816,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40069.3,2.21801e-05,0,0,0,0,40069.3,268041.15401780675,750336.4426775184,1018377.5966953251
586,2024-01-25 09:00:00+00:00,222467.77037819076,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40023.4,1.25e-05,0,0,0,0,40023.4,268910.04442551656,749476.9207313177,1018386.9651568343
587,2024-01-25 10:00:00+00:00,222477.15754226077,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40103.3,1.25e-05,0,0,0,0,40103.3,267423.2267202743,750973.12560063,1018396.3523209043
588,2024-01-25 11:00:00+00:00,222486.55926577115,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40165.5,1.25e-05,0,0,0,0,40165.5,266267.87321385706,752137.8808305576,1018405.7540444146
589,2024-01-25 12:00:00+00:00,222495.88823889458,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39854.7,1.25e-05,0,0,0,0,39854.7,272097.2331429536,746317.8498745845,1018415.0830175381
590,2024-01-25 13:00:00+00:00,222505.22947752726,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39907.1,1.25e-05,0,0,0,0,39907.1,271125.3336412613,747299.0906149094,1018424.4242561708
591,2024-01-25 14:00:00+00:00,222514.59246169066,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40000.0,1.25e-05,0,0,0,0,40000.0,269395.0541678639,749038.7330724703,1018433.7872403342
592,2024-01-25 15:00:00+00:00,222523.9071328558,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39793.6,1.25e-05,0,0,0,0,39793.6,273269.408701683,745173.6932098162,1018443.1019114992
593,2024-01-25 16:00:00+00:00,222533.19989463798,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39700.0,1.25e-05,0,0,0,0,39700.0,275031.45209885476,743420.9425744268,1018452.3946732816
594,2024-01-25 17:00:00+00:00,222542.516391585,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39801.4,1.25e-05,0,0,0,0,39801.4,273141.955407463,745319.7557627654,1018461.7111702284
595,2024-01-25 18:00:00+00:00,222551.8401916597,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39832.6,1.25e-05,0,0,0,0,39832.6,272567.0289957412,745904.0059745619,1018471.0349703031
596,2024-01-25 19:00:00+00:00,222561.19917314738,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39982.9,1.25e-05,0,0,0,0,39982.9,269761.8749377091,748718.5190140818,1018480.3939517909
597,2024-01-25 20:00:00+00:00,222570.52168581175,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39827.1,1.25e-05,0,0,0,0,39827.1,272688.70331569074,745801.0131487645,1018489.7164644552
598,2024-01-25 21:00:00+00:00,222579.8654290427,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39917.8,1.25e-05,0,0,0,0,39917.8,270999.6017316798,747499.4584760064,1018499.0602076862
599,2024-01-25 22:00:00+00:00,222589.21567954763,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39945.6,1.25e-05,0,0,0,0,39945.6,270488.3700626994,748020.0403954916,1018508.4104581911
600,2024-01-25 23:00:00+00:00,222605.61783360248,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39953.3,2.19232e-05,0,0,0,0,39953.3,270360.5822606378,748164.2303516082,1018524.812612246
601,2024-01-26 00:00:00+00:00,222626.46133052558,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39889.9,2.79038e-05,0,0,0,0,39889.9,271568.65214948077,746977.0039596884,1018545.6561091691
602,2024-01-26 01:00:00+00:00,222635.80753153987,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39928.3,1.25e-05,0,0,0,0,39928.3,270858.9211667455,747696.0811434379,1018555.0023101834
603,2024-01-26 02:00:00+00:00,222645.20164762562,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40133.0,1.25e-05,0,0,0,0,40133.0,267035.1095663329,751529.2868599362,1018564.3964262691
604,2024-01-26 03:00:00+00:00,222654.57797404146,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40057.0,1.25e-05,0,0,0,0,40057.0,268467.6594855864,750106.1132670986,1018573.772752685
605,2024-01-26 04:00:00+00:00,222663.9722773869,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40133.8,1.25e-05,0,0,0,0,40133.8,267038.89942143264,751544.2676345977,1018583.1670560304
606,2024-01-26 05:00:00+00:00,222673.35663256166,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40091.3,1.25e-05,0,0,0,0,40091.3,267844.1374304969,750748.4139807082,1018592.5514112052
607,2024-01-26 06:00:00+00:00,222682.71797820283,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39993.0,1.25e-05,0,0,0,0,39993.0,269694.26146266377,748907.6512941825,1018601.9127568463
608,2024-01-26 07:00:00+00:00,222692.07066308366,-18.725968326811756,42503.5,50,18.725968326811756,0.0,39956.0,1.25e-05,0,0,0,0,39956.0,270396.47497563664,748214.7904660905,1018611.2654417271
609,2024-01-26 08:00:00+00:00,222701.46133827273,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40118.3,1.25e-05,0,0,0,0,40118.3,267366.64099138405,751254.0151255322,1018620.6561169162
610,2024-01-26 09:00:00+00:00,222710.83967773017,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40065.6,1.25e-05,0,0,0,0,40065.6,268362.8778616646,750267.156594709,1018630.0344563737
611,2024-01-26 10:00:00+00:00,222720.36005365735,-18.725968326811756,42503.5,50,18.725968326811756,0.0,40672.4,1.25e-05,0,0,0,0,40672.4,257009.48065688234,761630.0741754185,1018639.5548323009
